"","datetime","city","country","shape"
"26556",2011-01-29,"mansfield","us",""
"44338",1996-04-03,"las vegas","us",""
"47372",1995-05-16,"hillsborough","us",""
"80420",2005-08-09,"","",""
"23284",2003-12-28,"grand isle","us","changing"
"66175",2013-07-24,"longmont","us","changing"
"7281",2012-10-05,"hayward","us","chevron"
"10174",2008-11-14,"los angeles","us","chevron"
"25579",2012-12-06,"canajoharie","us","chevron"
"42772",2010-04-22,"santa barbara","us","chevron"
"72362",1997-08-12,"pilot butte (canada)","ca","chevron"
"53157",2006-06-01,"boise","us","cigar"
"56743",2009-06-22,"egan","us","cigar"
"4301",2010-10-22,"oakland","us","circle"
"5459",2011-10-27,"penn valley","us","circle"
"11071",2011-11-16,"berlin","us","circle"
"11585",2007-11-18,"sudbury (canada)","ca","circle"
"12707",2014-01-01,"pittsburgh","us","circle"
"17127",2011-11-06,"crossville","us","circle"
"20289",2002-12-15,"monterey","us","circle"
"37695",2013-03-28,"dayton","us","circle"
"38505",2007-03-04,"las vegas","us","circle"
"38784",2000-03-06,"gersh&oslash;j (denmark)","","circle"
"47198",2004-05-15,"mesa","us","circle"
"64719",1984-07-20,"iowa city","us","circle"
"78869",2011-08-03,"teterboro","us","circle"
"82271",2001-09-14,"calgary (canada)","ca","circle"
"82894",2005-09-15,"chandler","us","circle"
"85419",2003-09-23,"washington","us","circle"
"86401",2012-09-27,"raleigh","us","circle"
"42203",2012-04-20,"boston","us","cylinder"
"50110",1999-05-31,"colorado springs","us","cylinder"
"57610",2013-06-25,"palo alto","us","cylinder"
"53304",1982-06-12,"steger","us","diamond"
"57413",2000-06-25,"dallas","us","diamond"
"60791",1999-07-10,"revelstoke (canada)","ca","diamond"
"62776",1957-07-15,"houston","us","diamond"
"1135",2001-10-12,"denver","us","disk"
"3292",2008-10-19,"auxvasse","us","disk"
"7258",2012-10-05,"roscoe","us","disk"
"13665",2005-11-22,"folly beach","us","disk"
"16280",1987-11-05,"australia","","disk"
"16463",2004-01-15,"barco","us","disk"
"21015",2003-12-19,"toulouse (southeastern suburbs) (france)","","disk"
"27858",2009-01-07,"rzesz&oacute;w (poland)","","disk"
"30193",2002-02-18,"anaheim","us","disk"
"30541",2003-02-20,"dallas","us","disk"
"32844",2002-02-06,"nashville","us","disk"
"41360",2009-04-16,"lincoln (uk/england)","gb","disk"
"46874",2012-05-14,"louisville","us","disk"
"46900",1953-05-15,"toronto (canada)","ca","disk"
"48364",2009-05-21,"fredericksburg","us","disk"
"49917",1959-05-30,"cincinnati","us","disk"
"51350",2012-05-08,"fort worth","us","disk"
"52459",1980-06-01,"panama","","disk"
"53633",2009-06-13,"indian rocks beach","us","disk"
"54986",1982-06-16,"fontana","us","disk"
"64239",2001-07-18,"france (antibes)","","disk"
"76835",2012-08-24,"sacramento","us","disk"
"79857",2008-08-07,"denton","us","disk"
"81429",2002-09-01,"polonnaruwa (sri lanka)","","disk"
"86916",2013-09-29,"johnston","","disk"
"4619",2013-10-23,"wickenburg","us","fireball"
"5120",1998-10-26,"spencer","us","fireball"
"12332",2009-01-01,"lampertheim (germany)","de","fireball"
"14653",2002-11-27,"lincoln","us","fireball"
"16789",2013-11-05,"grayson/lawrenceville area","","fireball"
"19986",2013-12-13,"longmont","us","fireball"
"31302",1999-02-23,"phoenix (north of)","us","fireball"
"41993",2014-04-19,"nashik (india)","","fireball"
"43114",2007-04-24,"homer","us","fireball"
"56423",2013-06-21,"fredericton (canada)","ca","fireball"
"58670",1978-06-30,"new bedford","us","fireball"
"69489",2013-07-04,"washington","us","fireball"
"72620",2011-08-12,"bel air","us","fireball"
"75903",2013-08-21,"rhinebeck","us","fireball"
"81805",2003-09-12,"claremont","us","fireball"
"85677",2008-09-24,"pewee valley","us","fireball"
"26092",2004-01-28,"king country (new zealand)","","flash"
"64373",2010-07-18,"grapeville","us","flash"
"73289",2013-08-14,"rochester","us","flash"
"85283",2013-09-22,"kennebunkport","us","flash"
"3860",2008-10-21,"fairfield","us","formation"
"6816",2011-10-03,"miles city","us","formation"
"21135",2000-01-02,"la quinta","us","formation"
"39026",2004-03-07,"franklin/nashville","","formation"
"46219",2005-05-01,"downey","us","formation"
"46929",1967-05-15,"palm wells","us","formation"
"70012",2000-07-06,"babylon","us","formation"
"72301",2013-08-01,"winterset","us","formation"
"775",2002-10-01,"natrona heights&#44 new kensington","","light"
"1273",2012-10-12,"waynesburg (north of)","us","light"
"1813",2011-10-14,"san mateo","","light"
"7902",2011-10-08,"onaway","us","light"
"8858",2009-11-11,"beverly hills","us","light"
"9307",2007-11-01,"hertford","us","light"
"9921",2009-11-13,"harper","us","light"
"11352",2010-11-17,"miami","us","light"
"13511",2013-11-02,"esch-an-der-alzette (luxemburg)","","light"
"25255",2012-12-05,"myrtle beach","us","light"
"29246",2014-02-13,"butte","us","light"
"31569",2010-02-24,"interstate 8","","light"
"38551",2012-03-04,"dallas","us","light"
"44324",2014-04-30,"las vegas","us","light"
"44947",2007-04-06,"kennewick (benton city??)","us","light"
"45062",1994-04-07,"brookfield","us","light"
"45640",1986-05-10,"crab orchard","us","light"
"47653",1993-05-18,"philadelphia","us","light"
"48135",2005-05-20,"plains","us","light"
"48355",2008-05-21,"comer","us","light"
"48766",1997-05-23,"arcadia (outskirts of)","us","light"
"49441",1997-05-27,"huntington","us","light"
"51912",2008-06-11,"west chester","us","light"
"56615",1995-06-22,"chelsea","us","light"
"56796",2012-06-22,"pittstown","us","light"
"58972",2003-06-30,"magna","us","light"
"59076",2007-06-30,"indianapolis","us","light"
"64980",2011-07-20,"surfside beach","us","light"
"66400",2009-07-25,"pollockpines","","light"
"67852",2006-07-31,"valley city","us","light"
"69370",2012-07-04,"houston","us","light"
"71142",1988-08-10,"jamesville","us","light"
"71250",2002-08-10,"rockaway","us","light"
"71405",2012-08-10,"finley","us","light"
"72387",1999-08-12,"flagstaff","us","light"
"72889",2008-08-13,"seneca falls","us","light"
"75072",2006-08-19,"fargo","us","light"
"76360",2012-08-22,"san jose del cabo (mexico)","","light"
"76682",2002-08-24,"englewood","us","light"
"78392",2013-08-30,"haymarket","us","light"
"81025",2007-09-11,"studio city","us","light"
"87507",2000-09-04,"westlake village","us","light"
"24637",2002-12-04,"galesburg area","","other"
"41977",2013-04-19,"rte 9","","other"
"44341",1997-04-03,"port wentworth","us","other"
"48130",2005-05-20,"redwood city","us","other"
"56150",2012-06-20,"pevek (russia)","","other"
"64986",2012-07-20,"orleans","us","other"
"66364",2008-07-25,"southbury","us","other"
"67491",1978-07-30,"myles inlet","","other"
"73438",1976-08-15,"buellton","us","other"
"75156",2010-08-19,"humboldt","us","other"
"84458",1998-09-21,"sedona","us","other"
"85592",1999-09-24,"chico","us","other"
"1308",2013-10-12,"grain valley","us","oval"
"5188",2005-10-26,"tracy","us","oval"
"37260",1985-03-26,"nashville","us","oval"
"58871",1999-06-30,"cherry hill","us","oval"
"84521",2004-09-21,"levasy","us","oval"
"1030",2011-10-01,"mccomb","us","rectangle"
"1251",2010-10-12,"bridgeton","us","rectangle"
"26202",2009-12-08,"cape fair","us","rectangle"
"31317",2002-02-23,"columbia","us","rectangle"
"31370",2008-02-23,"la habra","us","rectangle"
"9794",2013-11-12,"mount isa (australia)","au","sphere"
"32225",2011-02-28,"ridgecrest","us","sphere"
"42838",2014-04-22,"mount pulaski","us","sphere"
"48015",1958-05-20,"north hollywood","us","sphere"
"50510",2008-05-04,"olathe","us","sphere"
"50544",2012-05-04,"cedar falls","us","sphere"
"51721",2008-06-10,"honey grove","us","sphere"
"60469",2013-06-08,"napa","us","sphere"
"64322",2008-07-18,"cape may","us","sphere"
"70754",2007-07-08,"pine valley","us","sphere"
"71167",1996-08-10,"wharton","us","sphere"
"32854",2003-02-06,"geelong (vic&#44 australia)","au","teardrop"
"5873",2007-10-29,"bedford","us","triangle"
"7143",2002-10-05,"des plaines","us","triangle"
"8574",2007-11-10,"las vegas","us","triangle"
"9844",2003-11-13,"aruba (caribbean)","","triangle"
"12711",2014-01-01,"hickory","us","triangle"
"13291",2005-11-02,"newton","us","triangle"
"15826",2013-11-03,"tomah","us","triangle"
"17425",2007-11-07,"grand haven","us","triangle"
"20473",1997-12-16,"baltimore","us","triangle"
"27696",2013-01-06,"moundville","us","triangle"
"35109",2003-03-15,"edmonton (canada)","ca","triangle"
"35373",2006-03-16,"springfield","us","triangle"
"35622",2010-03-17,"roscoe","us","triangle"
"38067",2013-03-30,"pickerington","us","triangle"
"40433",1999-04-13,"beaverton (canada)","ca","triangle"
"44328",2014-04-30,"edmonton (canada)","ca","triangle"
"45141",2006-04-07,"omaha","us","triangle"
"50845",2014-05-05,"boca raton","us","triangle"
"60099",1998-06-07,"los angeles","us","triangle"
"62834",1966-07-15,"malibu","us","triangle"
"64623",2012-07-19,"council bluffs","us","triangle"
"65189",2009-07-21,"aurora","us","triangle"
"65575",2003-07-22,"naperville","us","triangle"
"66483",2013-07-25,"akron","us","triangle"
"83935",2008-09-19,"acton or palmdale","","triangle"
"58",1992-10-10,"weatherford","us","unknown"
"48999",2009-05-24,"katy","us","unknown"
"64620",2011-07-19,"port neches","us","unknown"
"68089",2005-07-03,"tacoma area","","unknown"
"70357",2000-07-07,"cleveland","us","unknown"
"25816",2008-01-27,"briarwood (queens)","","circle"
"32597",2010-02-04,"nicolosi&#44 sicily (italy; mt. etna)","",""
"70731",2005-07-08,"fargo","us","egg"
"27653",2012-01-06,"tucson","us","light"
"66599",2004-07-26,"tulsa","us","cylinder"
"82319",2005-09-14,"estero","us","teardrop"
"62752",1951-07-15,"spokane valley (otis orchards)","us","sphere"
"62714",2013-07-14,"townsend","us","sphere"
"23007",2010-12-26,"mohawk","us","cylinder"
"55838",2013-06-19,"fairmont","us","unknown"
"19243",2001-12-01,"oklahoma city","us","formation"
"5769",1998-10-29,"lihue (kauai)","us","other"
"50472",2004-05-04,"mcfall","us","fireball"
"15142",2006-11-29,"uk/england (unspecified location)","","fireball"
"28696",1998-02-01,"newbury park","us","chevron"
"52547",1983-06-01,"phoenix (bartlette lake)","us","disk"
"66876",2008-07-27,"lexington","us","sphere"
"38872",2008-03-06,"altoona","us","unknown"
"49663",2007-05-28,"sacramento","us","changing"
"31960",2000-02-27,"bloomington","us","cigar"
"4788",2010-10-24,"huntersville","us","circle"
"4844",2013-10-24,"pasadena","us","fireball"
"39836",2009-04-11,"bismarck","us","disk"
"44037",2006-04-29,"warren","us","disk"
"85086",2004-09-22,"milton","us","unknown"
"73268",2012-08-14,"stillwater","us","other"
"80310",2013-08-08,"astoria","us","light"
"32436",2012-02-03,"marshall","us","light"
"79226",1982-08-05,"rome","us","cigar"
"51729",2008-06-10,"harrisonburg","us","unknown"
"79413",2011-08-05,"long beach","us","light"
"42309",2003-04-21,"phoenix","us","other"
"59679",2006-06-05,"fresno","us","triangle"
"61386",NA,"johnstown","us","triangle"
"23633",2000-12-30,"san francisco","us","triangle"
"40933",1996-04-15,"los angeles","us","other"
"70041",2003-07-06,"lewisville","us","cylinder"
"75718",2004-08-21,"tinley park","us","formation"
